"id","Date","Taxon","Latitude","Longitude","stateProvince","scientificName"
87699940,"2021-07-17",522193,41.3827400394,-111.5925810224,"Utah","Alces alces"
148204460,"2023-01-08",522193,37.8175010945,-107.7058760918,"Colorado","Alces alces"
27830250,"2019-06-28",522193,44.7480545044,-71.7566680908,"Vermont","Alces alces"
148207358,"2021-06-15",852460,63.4577186479,-149.4658914659,"Alaska","Alces alces gigas"
148207359,"2021-06-07",852460,64.806547889,-163.7464394156,"Alaska","Alces alces gigas"
148209011,"2023-02-05",522193,61.2091973049,-149.9226602912,"Alaska","Alces alces"
27835352,"2019-06-24",522193,43.7110679348,-110.794152854,"Wyoming","Alces alces"
7040068,"2017-07-09",522193,42.7847480374,-112.4320435524,"Idaho","Alces alces"
48026129,"2020-05-31",522193,41.34997167,-106.16162783,"Wyoming","Alces alces"
128366497,"2013-06-24",415475,44.4240868776,-111.3710645959,"Idaho","Alces alces shirasi"
128367145,"2018-05-21",522193,40.0742008926,-105.5870643354,"Colorado","Alces alces"
7043652,"2017-07-03",522193,48.1586333333,-88.4759555556,"Michigan","Alces alces"
27847180,"2019-06-28",522193,44.764511,-71.7405807,"Vermont","Alces alces"
7044672,"2017-07-05",522193,48.06349692,-88.7250816822,"Michigan","Alces alces"
27848544,"2019-06-28",522193,39.5773544312,-106.0983734131,"Colorado","Alces alces"
67777299,"2021-01-08",522193,47.39967,-91.6432033333,"Minnesota","Alces alces"
27852281,"2019-06-28",522193,40.4498025025,-111.5920921093,"Utah","Alces alces"
87732834,"2021-07-16",522193,38.0227716,-107.6714487,"Colorado","Alces alces"
87736195,"2021-07-18",522193,39.4818302379,-106.038351953,"Colorado","Alces alces"
27863752,"2019-06-14",522193,39.346925,-105.5995583333,"Colorado","Alces alces"
128394694,"2018-05-22",522193,40.3500462873,-105.6392304666,"Colorado","Alces alces"
7063710,"2017-07-14",522193,39.86067,-105.413754,"Colorado","Alces alces"
7063968,"2017-07-14",522193,40.076285,-105.57483,"Colorado","Alces alces"
128396484,"2018-05-23",522193,39.9039496723,-105.5175628333,"Colorado","Alces alces"
128396485,"2018-05-23",522193,39.9039496723,-105.5175628333,"Colorado","Alces alces"
